Decile Change 2014 to 2015 for State & State Integrated Schools,,,,,,,,,,,,
,,,,,,,,,,,,
Inst #,School Name,Final 2015 Decile,"Final 2015 
Step","July 2014 Funding roll
Years 9+","July 2014 Funding roll
Total ",School Type,Authority,Territorial Local Authority,Regional Council,Ministry of Education Local Office,General Electorate,Māori Electorate
1231,Birkenhead School,9,Q,0,380,Contributing,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
1607,Bishop Edward Gaines Catholic School,2,D,0,36,Full Primary,State: Integrated,South Waikato District,Waikato Region,Hamilton,Taupo,Te Tai Hauauru
256,Bishop Viard College,1,C,304,410,Secondary (Year 7-15),State: Integrated,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
3293,Bishopdale School,3,G,0,136,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
3295,Blaketown School,4,K,0,55,Full Primary,State,Grey District,West Coast Region,Nelson,West Coast-Tasman,Te Tai Tonga
2546,Bledisloe School,6,N,0,318,Contributing,State,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
2811,Blenheim School,4,J,0,47,Contributing,State,Marlborough District,Marlborough Region,Nelson,Kaikoura,Te Tai Tonga
4156,Blind and Low Vision Education Network NZ,3,H,19,37,Special School,State,Auckland- Manurewa,Auckland Region,Auckland South,Manurewa,Tamaki Makaurau
1232,Blockhouse Bay Intermediate,5,M,0,789,Intermediate,State,Auckland- Whau,Auckland Region,Auckland South,New Lynn,Tamaki Makaurau
1233,Blockhouse Bay School,7,O,0,594,Contributing,State,Auckland- Whau,Auckland Region,Auckland South,New Lynn,Tamaki Makaurau
1007,Blomfield Special School and Resource Ctre,3,H,55,87,Special School,State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
391,Blue Mountain College,9,Q,143,228,Secondary (Year 7-15),State,Clutha District,Otago Region,Dunedin,Clutha-Southland,Te Tai Tonga
2113,Bluestone School,5,M,0,574,Full Primary,State,Timaru District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
2120,Bluff School,3,I,0,139,Full Primary,State,Invercargill City,Southland Region,Invercargill,Invercargill,Te Tai Tonga
2812,Bohally Intermediate,6,N,0,349,Intermediate,State,Marlborough District,Marlborough Region,Nelson,Kaikoura,Te Tai Tonga
1234,Bombay School,9,Q,0,364,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
1235,Botany Downs School,9,Q,0,485,Contributing,State,Auckland- Howick,Auckland Region,Auckland South,Botany,Tamaki Makaurau
6930,Botany Downs Secondary College,9,Q,1696,1696,Secondary (Year 9-15),State,Auckland- Howick,Auckland Region,Auckland South,Botany,Tamaki Makaurau
2813,Boulcott School,7,O,0,340,Contributing,State,Lower Hutt City,Wellington Region,Wellington,Hutt South,Te Tai Tonga
3716,Bradford School,5,M,0,99,Contributing,State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
