Decile Change 2014 to 2015 for State & State Integrated Schools,,,,,,,,,,,,
,,,,,,,,,,,,
Inst #,School Name,Final 2015 Decile,"Final 2015 
Step","July 2014 Funding roll
Years 9+","July 2014 Funding roll
Total ",School Type,Authority,Territorial Local Authority,Regional Council,Ministry of Education Local Office,General Electorate,Māori Electorate
265,St Oran's College,10,Z,354,498,Secondary (Year 7-15),State: Integrated,Lower Hutt City,Wellington Region,Wellington,Hutt South,Te Tai Tonga
1961,St Patrick's Catholic Sch (Taumarunui),4,L,0,84,Full Primary,State: Integrated,Ruapehu District,Manawatu-Wanganui Region,Hamilton,Rangitikei,Te Tai Hauauru
1962,St Patrick's Catholic Sch (Te Awamutu),7,O,0,276,Full Primary,State: Integrated,Waipa District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
1750,St Patrick's Catholic School (Taupo),8,P,0,237,Full Primary,State: Integrated,Taupo District,Waikato Region,Rotorua,Taupo,Waiariki
276,St Patrick's College (Kilbirnie),8,P,794,794,Secondary (Year 9-15),State: Integrated,Wellington City,Wellington Region,Wellington,Rongotai,Te Tai Tonga
252,St Patrick's College (Silverstream),8,P,728,728,Secondary (Year 9-15),State: Integrated,Upper Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
3537,St Patrick's School (Bryndwr),10,Z,0,162,Full Primary,State: Integrated,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
3538,St Patrick's School (Greymouth),6,N,0,105,Full Primary,State: Integrated,Grey District,West Coast Region,Nelson,West Coast-Tasman,Te Tai Tonga
2241,St Patrick's School (Inglewood),6,N,0,69,Full Primary,State: Integrated,New Plymouth District,Taranaki Region,Whanganui,Taranaki-King Country,Te Tai Hauauru
4020,St Patrick's School (Invercargill),3,H,0,270,Contributing,State: Integrated,Invercargill City,Southland Region,Invercargill,Invercargill,Te Tai Tonga
3540,St Patrick's School (Kaiapoi),7,O,0,113,Full Primary,State: Integrated,Waimakariri District,Canterbury Region,Christchurch,Waimakariri,Te Tai Tonga
2240,St Patrick's School (Kaponga),5,M,0,31,Full Primary,State: Integrated,South Taranaki District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
3019,St Patrick's School (Kilbirnie),5,M,0,84,Full Primary,State: Integrated,Wellington City,Wellington Region,Wellington,Rongotai,Te Tai Tonga
3016,St Patrick's School (Masterton),6,N,0,226,Contributing,State: Integrated,Masterton District,Wellington Region,Wellington,Wairarapa,Ikaroa-Rawhiti
2745,St Patrick's School (Napier),4,J,0,323,Full Primary,State: Integrated,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
4019,St Patrick's School (Nightcaps),2,E,0,12,Full Primary,State: Integrated,Southland District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
1507,St Patrick's School (Panmure),1,C,0,105,Full Primary,State: Integrated,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Maungakiekie,Tamaki Makaurau
3017,St Patrick's School (Paraparaumu),7,O,0,116,Full Primary,State: Integrated,Kapiti Coast District,Wellington Region,Wellington,Mana,Te Tai Hauauru
3539,St Patrick's School (Waimate),5,M,0,26,Full Primary,State: Integrated,Waimate District,Canterbury Region,Christchurch,Waitaki,Te Tai Tonga
1963,St Paul's Catholic School (Ngaruawahia),4,J,0,127,Full Primary,State: Integrated,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
51,St Paul's College (Ponsonby),2,E,217,262,Secondary (Year 7-15),State: Integrated,Auckland- Waitemata,Auckland Region,Auckland South,Auckland Central,Tamaki Makaurau
3541,St Paul's School (Dallington),6,N,0,191,Full Primary,State: Integrated,Christchurch City,Canterbury Region,Christchurch,Christchurch Central,Te Tai Tonga
1643,St Paul's School (Massey),4,L,0,386,Contributing,State: Integrated,Auckland- Henderson-Massey,Auckland Region,Auckland North,Helensville,Te Tai Tokerau
1627,St Paul's School (Richmond),8,P,0,222,Full Primary,State: Integrated,Tasman District,Tasman Region,Nelson,Nelson,Te Tai Tonga
1964,St Peter Chanel Catholic Sch (Te Rapa),7,O,0,286,Full Primary,State: Integrated,Hamilton City,Waikato Region,Hamilton,Hamilton West,Hauraki-Waikato
3834,St Peter Chanel School (Green Island),8,P,0,70,Full Primary,State: Integrated,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
3222,St Peter Chanel School (Motueka),4,K,0,64,Full Primary,State: Integrated,Tasman District,Tasman Region,Nelson,West Coast-Tasman,Te Tai Tonga
3020,St Peter Chanel School (Otaki),4,K,0,11,Full Primary,State: Integrated,Kapiti Coast District,Wellington Region,Wellington,Otaki,Te Tai Hauauru
1965,St Peter's Catholic School (Cambridge),9,Q,0,167,Full Primary,State: Integrated,Waipa District,Waikato Region,Hamilton,Taupo,Hauraki-Waikato
62,St Peter's College (Epsom),8,P,903,1286,Secondary (Year 7-15),State: Integrated,Auckland- Waitemata,Auckland Region,Auckland South,Epsom,Tamaki Makaurau
397,St Peter's College (Gore),8,P,304,421,Secondary (Year 7-15),State: Integrated,Gore District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
204,St Peter's College (Palmerston North),6,N,397,546,Secondary (Year 7-15),State: Integrated,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Palmerston North,Te Tai Hauauru
3542,St Peter's School (Beckenham),8,P,0,144,Full Primary,State: Integrated,Christchurch City,Canterbury Region,Christchurch,Christchurch Central,Te Tai Tonga
1508,St Pius X Catholic School (Glen Innes),1,B,0,142,Full Primary,State: Integrated,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Tamaki,Tamaki Makaurau
1966,St Pius X Catholic School (Melville),3,I,0,155,Full Primary,State: Integrated,Hamilton City,Waikato Region,Hamilton,Hamilton West,Hauraki-Waikato
2242,St Pius X School (New Plymouth),9,Q,0,107,Contributing,State: Integrated,New Plymouth District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
3022,St Pius X School (Titahi Bay),4,K,0,107,Contributing,State: Integrated,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
4021,St Teresa's School (Bluff),3,I,0,24,Full Primary,State: Integrated,Invercargill City,Southland Region,Invercargill,Invercargill,Te Tai Tonga
3023,St Teresa's School (Featherston),5,M,0,114,Full Primary,State: Integrated,South Wairarapa District,Wellington Region,Wellington,Wairarapa,Ikaroa-Rawhiti
3024,St Teresa's School (Karori),10,Z,0,178,Full Primary,State: Integrated,Wellington City,Wellington Region,Wellington,Wellington Central,Te Tai Tonga
3543,St Teresa's School (Riccarton),4,K,0,162,Full Primary,State: Integrated,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
4022,St Theresa's School (Invercargill),7,O,0,273,Contributing,State: Integrated,Invercargill City,Southland Region,Invercargill,Invercargill,Te Tai Tonga
3025,St Theresa's School (Plimmerton),10,Z,0,183,Contributing,State: Integrated,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
1509,St Therese School (Three Kings),3,G,0,129,Full Primary,State: Integrated,Auckland- Puketapapa,Auckland Region,Auckland South,Mt Roskill,Tamaki Makaurau
1636,St Thomas More Catholic School,7,O,0,223,Contributing,State: Integrated,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty,Waiariki
331,St Thomas of Canterbury College,8,P,436,547,Secondary (Year 7-15),State: Integrated,Christchurch City,Canterbury Region,Christchurch,Wigram,Te Tai Tonga
1510,St Thomas School (Auckland),10,Z,0,741,Full Primary,State,Auckland- Orakei,Auckland Region,Auckland South,Tamaki,Tamaki Makaurau
4023,St Thomas School (Winton),9,Q,0,58,Full Primary,State: Integrated,Southland District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
1511,Stanhope Road School,4,L,0,467,Full Primary,State,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Maungakiekie,Tamaki Makaurau
1967,Stanley Avenue School,4,L,0,277,Full Primary,State,Matamata-Piako District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
1512,Stanley Bay School,10,Z,0,278,Contributing,State,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,North Shore,Te Tai Tokerau
1513,Stanmore Bay School,8,P,0,487,Contributing,State,Auckland- Hibiscus and Bays,Auckland Region,Auckland North,Rodney,Te Tai Tokerau
1514,Star of the Sea School (Howick),9,Q,0,531,Contributing,State: Integrated,Auckland- Howick,Auckland Region,Auckland South,Botany,Tamaki Makaurau
1663,Stella Maris Primary School,9,Q,0,287,Full Primary,State: Integrated,Auckland- Hibiscus and Bays,Auckland Region,Auckland North,Rodney,Te Tai Tokerau
3836,Stirling School,6,N,0,24,Full Primary,State,Clutha District,Otago Region,Dunedin,Clutha-Southland,Te Tai Tonga
3223,Stoke School,4,L,0,217,Contributing,State,Nelson City,Nelson Region,Nelson,Nelson,Te Tai Tonga
565,Stonefields School,9,Q,0,345,Full Primary,State,Auckland- Orakei,Auckland Region,Auckland South,Tamaki,Tamaki Makaurau
179,Stratford High School,4,L,531,531,Secondary (Year 9-15),State,Stratford District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
2244,Stratford School,5,M,0,409,Full Primary,State,Stratford District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
3837,Strath Taieri School,5,M,0,44,Full Primary,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
1968,Strathmore School,1,B,0,180,Contributing,State,South Waikato District,Waikato Region,Hamilton,Taupo,Te Tai Hauauru
3021,Sts Peter and Paul School (L.Hutt),9,Q,0,435,Full Primary,State: Integrated,Lower Hutt City,Wellington Region,Wellington,Hutt South,Te Tai Tonga
6937,Summerland Primary,5,M,0,645,Contributing,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Te Atatu,Te Tai Tokerau
3546,Sumner School,10,Z,0,453,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Port Hills,Te Tai Tonga
1516,Sunnybrae Normal School,7,O,0,404,Contributing,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
1517,Sunnydene Special School,5,M,40,71,Special School,State,Auckland- Puketapapa,Auckland Region,Auckland South,Mt Roskill,Tamaki Makaurau
1515,Sunnyhills School,9,Q,0,543,Full Primary,State,Auckland- Howick,Auckland Region,Auckland South,Pakuranga,Tamaki Makaurau
1518,Sunnynook School,8,P,0,461,Contributing,State,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,North Shore,Te Tai Tokerau
1519,Sunnyvale School,3,I,0,423,Contributing,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Kelston,Te Tai Tokerau
1970,Sunset Primary School,1,A,0,103,Contributing,State,Rotorua District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
1520,Sutton Park School,1,B,0,498,Full Primary,State,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Mangere,Tamaki Makaurau
3547,Swannanoa School,10,Z,0,252,Full Primary,State,Waimakariri District,Canterbury Region,Christchurch,Waimakariri,Te Tai Tonga
1521,Swanson School,3,I,0,464,Full Primary,State,Auckland- Waitakere Ranges,Auckland Region,Auckland North,Te Atatu,Te Tai Tokerau
1522,Sylvia Park School,2,F,0,444,Full Primary,State,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Maungakiekie,Tamaki Makaurau
3838,Tahakopa School,8,P,0,8,Full Primary,State,Clutha District,Otago Region,Dunedin,Clutha-Southland,Te Tai Tonga
6742,Tahatai Coast School,7,O,0,642,Full Primary,State,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty,Waiariki
3839,Tahuna Normal Intermediate,8,P,0,435,Intermediate,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
1972,Tahuna School,7,O,0,67,Contributing,State,Matamata-Piako District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
3224,Tahunanui School,4,L,0,307,Contributing,State,Nelson City,Nelson Region,Nelson,Nelson,Te Tai Tonga
3549,Tai Tapu School,10,Z,0,322,Full Primary,State,Selwyn District,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
632,Tai Wananga,4,J,162,162,Secondary (Year 9-15),State,Hamilton City,Waikato Region,Hamilton,Hamilton East,Hauraki-Waikato
3840,Taieri Beach School,7,O,0,18,Full Primary,State,Clutha District,Otago Region,Dunedin,Clutha-Southland,Te Tai Tonga
495,Taieri College,7,O,648,933,Secondary (Year 7-15),State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
549,Taihape Area School,4,L,144,263,Composite (Year 1-15),State,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
231,Taikura Rudolf Steiner School,6,N,104,363,Composite (Year 1-15),State: Integrated,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
1974,Tainui Full Primary School,2,D,0,184,Full Primary,State,South Waikato District,Waikato Region,Hamilton,Taupo,Te Tai Hauauru
3841,Tainui School,7,O,0,278,Contributing,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
2,Taipa Area School,2,E,142,258,Composite (Year 1-15),State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
3029,Tairangi School,1,B,0,153,Full Primary,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
1975,Tairua School,7,O,0,130,Full Primary,State,Thames-Coromandel District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
3030,Taita Central School,2,D,0,162,Contributing,State,Lower Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
258,Taita College,2,F,447,447,Secondary (Year 9-15),State,Lower Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
3032,Taitoko School,1,A,0,154,Full Primary,State,Horowhenua District,Manawatu-Wanganui Region,Wellington,Otaki,Te Tai Hauauru
3226,Takaka Primary School,6,N,0,165,Contributing,State,Tasman District,Tasman Region,Nelson,West Coast-Tasman,Te Tai Tonga
1523,Takanini School,1,A,0,456,Full Primary,State,Auckland- Papakura,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
2684,Takapau School,4,J,0,130,Full Primary,State,Central Hawke's Bay District,Hawkes Bay Region,Napier,Wairarapa,Ikaroa-Rawhiti
36,Takapuna Grammar School,10,Z,1470,1470,Secondary (Year 9-15),State,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,North Shore,Te Tai Tokerau
1524,Takapuna Normal Intermediate,9,Q,0,591,Intermediate,State,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,North Shore,Te Tai Tokerau
1525,Takapuna School,8,P,0,405,Contributing,State,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,North Shore,Te Tai Tokerau
2460,Takaro School,1,C,0,150,Full Primary,State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Palmerston North,Te Tai Hauauru
398,Takitimu Primary School,4,K,0,118,Full Primary,State,Southland District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
1976,Tamahere Model Country School,10,Z,0,395,Contributing,State,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
57,Tamaki College,1,A,433,433,Secondary (Year 9-15),State,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Tamaki,Tamaki Makaurau
1526,Tamaki School,1,A,0,239,Full Primary,State,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Maungakiekie,Tamaki Makaurau
4143,Tamariki School,4,L,0,49,Full Primary,State: Integrated,Christchurch City,Canterbury Region,Christchurch,Port Hills,Te Tai Tonga
218,Tamatea High School,3,H,254,254,Secondary (Year 9-15),State,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
2685,Tamatea Intermediate,4,K,0,401,Intermediate,State,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
2686,Tamatea School,3,H,0,161,Contributing,State,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
1978,Taneatua School,1,C,0,215,Full Primary,State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
58,Tangaroa College,1,A,893,893,Secondary (Year 9-15),State,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Botany,Tamaki Makaurau
2461,Tangimoana School,2,F,0,19,Full Primary,State,Manawatu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
1104,Tangiteroria School,7,O,0,56,Full Primary,State,Kaipara District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1105,Tangowahine School,4,K,0,17,Full Primary,State,Kaipara District,Northland Region,Whangarei,Northland,Te Tai Tokerau
2462,Taonui School,5,M,0,62,Full Primary,State,Manawatu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
2463,Taoroa School,1,C,0,24,Full Primary,State,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
3842,Tapanui School,9,Q,0,115,Contributing,State,Clutha District,Otago Region,Dunedin,Clutha-Southland,Te Tai Tonga
297,Tapawera Area School,4,K,60,196,Composite (Year 1-15),State,Tasman District,Tasman Region,Nelson,West Coast-Tasman,Te Tai Tonga
1106,Tapora School,5,M,0,38,Full Primary,State,Auckland- Rodney,Auckland Region,Auckland North,Northland,Te Tai Tokerau
1980,Tapu School,5,M,0,10,Full Primary,State,Thames-Coromandel District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
215,Taradale High School,7,O,898,898,Secondary (Year 9-15),State,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
2687,Taradale Intermediate,9,Q,0,474,Intermediate,State,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
2688,Taradale School,9,Q,0,444,Contributing,State,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
235,Tararua College,3,I,319,319,Secondary (Year 9-15),State,Tararua District,Manawatu-Wanganui Region,Wellington,Wairarapa,Ikaroa-Rawhiti
661,Tarawera High School,1,B,263,410,Secondary (Year 7-15),State,Kawerau District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
1528,Target Road School,6,N,0,333,Contributing,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Upper Harbour,Te Tai Tokerau
1982,Tarrangower School,2,E,0,41,Full Primary,State,Ruapehu District,Manawatu-Wanganui Region,Hamilton,Rangitikei,Te Tai Hauauru
3843,Tarras School,6,N,0,17,Full Primary,State,Central Otago District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
1178,Tasman Bay Christian School,6,N,0,56,Full Primary,State: Integrated,Tasman District,Tasman Region,Nelson,West Coast-Tasman,Te Tai Tonga
3228,Tasman School,9,Q,0,79,Full Primary,State,Tasman District,Tasman Region,Nelson,West Coast-Tasman,Te Tai Tonga
1983,Tatuanui School,7,O,0,94,Contributing,State,Matamata-Piako District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
166,Tauhara College,6,N,521,521,Secondary (Year 9-15),State,Taupo District,Waikato Region,Rotorua,Taupo,Waiariki
1984,Tauhara School,3,H,0,200,Contributing,State,Taupo District,Waikato Region,Rotorua,Taupo,Waiariki
1985,Tauhei Combined School,8,P,0,60,Contributing,State,Matamata-Piako District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
1107,Tauhoa School,6,N,0,40,Full Primary,State,Auckland- Rodney,Auckland Region,Auckland North,Northland,Te Tai Tokerau
169,Taumarunui High School,2,E,318,318,Secondary (Year 9-15),State,Ruapehu District,Manawatu-Wanganui Region,Hamilton,Rangitikei,Te Tai Hauauru
1986,Taumarunui Primary School,1,A,0,138,Full Primary,State,Ruapehu District,Manawatu-Wanganui Region,Hamilton,Rangitikei,Te Tai Hauauru
1529,Taupaki School,9,Q,0,269,Full Primary,State,Auckland- Rodney,Auckland Region,Auckland North,Helensville,Te Tai Tokerau
1987,Taupiri School,3,G,0,36,Full Primary,State,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
1988,Taupo Intermediate,6,N,0,560,Intermediate,State,Taupo District,Waikato Region,Rotorua,Taupo,Waiariki
1989,Taupo School,5,M,0,485,Contributing,State,Taupo District,Waikato Region,Rotorua,Taupo,Waiariki
167,Taupo-nui-a-Tia College,5,M,945,945,Secondary (Year 9-15),State,Taupo District,Waikato Region,Rotorua,Taupo,Waiariki
4144,Tauranga Adventist School,6,N,0,110,Full Primary,State: Integrated,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
121,Tauranga Boys' College,6,N,1731,1731,Secondary (Year 9-15),State,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
122,Tauranga Girls' College,6,N,1380,1380,Secondary (Year 9-15),State,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
1990,Tauranga Intermediate,5,M,0,1143,Intermediate,State,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
1991,Tauranga Primary School,7,O,0,435,Contributing,State,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
1187,Tauranga Waldorf School,7,O,0,191,Full Primary,State: Integrated,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty,Waiariki
12,Tauraroa Area School,6,N,209,441,Composite (Year 1-15),State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
1994,Tauriko School,9,Q,0,242,Full Primary,State,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
2101,Tautoro School,1,C,0,98,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1995,Tauwhare School,9,Q,0,166,Contributing,State,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
257,Tawa College,8,P,1459,1459,Secondary (Year 9-15),State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Hauauru
3034,Tawa Intermediate,8,P,0,475,Intermediate,State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Hauauru
3035,Tawa School,7,O,0,336,Full Primary,State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Hauauru
1996,Tawera Bilingual School,2,F,0,34,Full Primary,State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
3036,Tawhai School,5,M,0,322,Contributing,State,Lower Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
2465,Tawhero School,1,B,0,151,Contributing,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
2248,Tawhiti School,6,N,0,260,Contributing,State,South Taranaki District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
6940,Te Akau ki Papamoa Primary School,5,M,0,526,Contributing,State,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty,Waiariki
1998,Te Akau School,6,N,0,33,Full Primary,State,Waikato District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
4026,Te Anau School,9,Q,0,189,Contributing,State,Southland District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
3037,Te Aro School,7,O,0,213,Full Primary,State,Wellington City,Wellington Region,Wellington,Wellington Central,Te Tai Tonga
116,Te Aroha College,4,K,320,320,Secondary (Year 9-15),State,Matamata-Piako District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
1999,Te Aroha Primary School,3,G,0,183,Full Primary,State,Matamata-Piako District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
1530,Te Atatu Intermediate,6,N,0,322,Intermediate,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Te Atatu,Te Tai Tokerau
232,Te Aute College,3,G,49,49,Secondary (Year 9-15),State: Integrated,Central Hawke's Bay District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
2691,Te Awa School,1,C,0,139,Contributing,State,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
146,Te Awamutu College,5,M,1112,1112,Secondary (Year 9-15),State,Waipa District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
2001,Te Awamutu Intermediate,5,M,0,440,Intermediate,State,Waipa District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
2002,Te Awamutu Primary School,5,M,0,445,Contributing,State,Waipa District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
2692,Te Hapara School,2,F,0,343,Contributing,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
1109,Te Hapua School,1,C,0,25,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1532,Te Hihi School,7,O,0,190,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
3038,Te Horo School (Otaki),9,Q,0,220,Full Primary,State,Kapiti Coast District,Wellington Region,Wellington,Otaki,Te Tai Hauauru
1110,Te Horo School (Whangarei),2,E,0,23,Full Primary,State,Whangarei District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1177,Te Huruhi School,7,O,0,411,Contributing,State,Auckland- Waiheke,Auckland Region,Auckland South,Auckland Central,Hauraki-Waikato
1,Te Kao School,2,D,0,32,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
624,Te Karaka Area School,2,D,71,171,Composite (Year 1-15),State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
115,Te Kauwhata College,4,J,324,434,Secondary (Year 7-15),State,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
2005,Te Kauwhata Primary School,5,M,0,255,Contributing,State,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
4228,Te KKM o Puau Te Moananui-a-Kiwa,2,D,24,133,Composite (Year 1-15),State,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Tamaki,Tamaki Makaurau
1533,Te Kohanga School,3,I,0,28,Contributing,State,Waikato District,Waikato Region,Auckland South,Waikato,Hauraki-Waikato
1111,Te Kopuru School,2,E,0,139,Full Primary,State,Kaipara District,Northland Region,Whangarei,Northland,Te Tai Tokerau
2007,Te Kowhai School,10,Z,0,336,Full Primary,State,Waikato District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
160,Te Kuiti High School,2,F,294,294,Secondary (Year 9-15),State,Waitomo District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
2008,Te Kuiti Primary School,3,G,0,346,Full Primary,State,Waitomo District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
1619,Te Kura Akonga O Manurewa,2,E,0,69,Full Primary,State: Integrated,Auckland- Manurewa,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
3118,Te Kura Kaupapa Maori o Taumarunui,1,B,0,40,Full Primary,State,Ruapehu District,Manawatu-Wanganui Region,Hamilton,Rangitikei,Te Tai Hauauru
2739,Te Kura Kaupapa Maori o Whatatutu,1,B,0,33,Full Primary,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
1806,Te Kura Mana Maori Maraenui,1,C,0,47,Full Primary,State,Opotiki District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
1809,Te Kura Mana Maori o Matahi,1,C,0,32,Full Primary,State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
2084,Te Kura Mana Maori o Whangaparaoa,2,E,9,46,Composite (Year 1-15),State,Opotiki District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
630,Te Kura Maori o Nga Tapuwae,2,E,101,270,Composite (Year 1-15),State,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Mangere,Tamaki Makaurau
1634,Te Kura Maori o Porirua,3,I,56,238,Composite (Year 1-15),State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
2062,Te Kura Maori-a-Rohe o Waiohau,1,B,8,33,Composite (Year 1-15),State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
